review,sentiment
和魅力力量与柔情,1
~带领大家悲剧的黑暗英雄,1
论恶心、血腥级别，绝对5个星!,1
有人因总局一般题材剧本审查而YY恐怖片的美好时代，给这票人一冷静冷静，这样的显然还不到恐怖片领域。的在那里，鬼片的春天就别想。,1
非常精彩!,1
虐!在追的美剧都结了。。。人生!大叔!成为!,1
落魄时尚有吉他来，而我，却什么也没有，得意时别忘了另一端就是,1
剧情太缺逻辑，情色电影整成纯爱，差评!（妹子牺牲好大,0
结尾颠覆了。青春的虚无，虚无的青春。我们不懂爱，我们只懂做爱。那优雅的岁太太，等了一辈子的爱。她说，房，就是爱的终点。,1
贡献一星么么哒~,0
爱上你，就没想过能和你在一起。但是，我们的灵魂却让我们紧紧。,1
后革命时代对人性的影响，同时又透露出暖暖的亲情,1
，哭死我了,1
和都太美了，一种让人完全不开的魔力。,1
尼玛最后一个故事差点把我吓死!,1
evenbetterthanS123,1
不喜欢,0
晚上决定去看午夜场，人，睡了一半，我喜欢无计划的自由,0
给我，给我，我会给你勇气!,1
现实中的没这么慢热，也不会太快。从认识到交往的过程急不得，也求不得。这一部就像发生在身边，戏里的那些事情，生活过了就更感同身受。,1
良心制作,1
5星纯粹以当年的心境给的,1
温馨的，可爱的，美丽的,1
想想以前国产好动画真很多,1
我要对郭敬明，骂早了……,0
看了演员表就知道小时代被毁了，预告片印证了我这一。,0
风格好洋气啊!大爱,1
:好玩的暑假,1
一个爱情的女孩谁都不知道会遇到什么只要在路上就好很羡慕她如果我还有机会我会一个牌子看看人们给我的答案关于幸福,1
好温暖!,1
罗素克劳演这种神经质的真是极其传神,1
适合全家观看的喜剧，好期待啊!,1
看过的的第一部电视剧，啊!,1
看完之后才发现自己是那样糊涂。其实从片名的英文译名来看，就已经能猜出最后的赢家是谁。,1
大s演绎的，绝对可以了。不是一般人能演出来的!,1
极品,1
骨头神作，感人至深，真情作品。,1
更新更新更新,1
如此的烂，烂到令人发指，片头片尾才一个半小时，着快进看感觉看了个超长的印度电影般痛苦，那帮姑娘们的三观和傻逼程度简直到了令人叹为观止的境界，导演没有逻辑和层次的叙述也让人厌烦到泪流满面。即使那么多明星和品牌出镜也拯救不了这片子的。这片子是教孩子们毁三观的吧?,0
笑得好嘛，充满了!看得出导演身为DC党和，有种我们逐渐要统治世界（好吧）的感觉!当看到风的片尾字幕时被彻底了好嘛!对了大家一定要去看这片的预告片，我记得出了3条，全部是向科幻片致敬的。,1
好期待,1
哈哈哈哈哈贱死了,1
真心看，一直不温不火要死的调调,0
烂片不解释,0
嘴的小可爱~~,1
感觉前后风格完全不同，男女主角感情一波三折，感叹，不过演的还是不错的。,1
最后催人泪下...我了,1
恐惧来自哪里,1
是不是豆瓣只有看不懂的电影才能评高分?难怪说豆瓣是装逼犯的天下!这么好看的童话改编电影你好意思给1星?是不是全像内样你看不懂的才能给5分?这部完全满足了女孩子们的童话憧憬绝对妥妥的五分给1分的你们还想这部怎么地呢?想要童话有深度剧情曲折云里雾里让你们装逼吗?全去死吧!,1
良心作啊，等电影版，大概。,1
不好看无趣如果是小说大概很好看拍成动画之后反而错乱了起来,0
一颗星给Emma不能再多了,0
爱情，性与背叛。真爱来的时候，挡都挡不住。中毒了,1
看过的人都感到很欣慰!,1
好看，非常感动，非常励志,1
我最喜欢的台剧,1
我期待,1
一个复仇的故事拍成惊悚片的效果，不会显的生硬，恰恰是通过惊悚的效果刻画出了一个很喜欢床戏的形象，这种表现手法也是很少见的，导演的功力很深厚，完全突破了惊悚片单纯的惊悚，吓人的同时也体会到不一样的味道，父亲那跨越了时空的爱。,1
老子是有多寂寞才会看这种玩意儿啊!!!,0
为毛突然就上姐姐了==,1
我给五星的缘故一是这部电影结构的，提供了另一种模糊纪录片与剧情片界限的可能性；二是片子无比浪漫温馨的氛围，以及其中非常感人的爱情故事。年度爱情片最高之一,1
说剧情!女主美得啊，服饰也很华丽很漂亮!背景更是分分钟都可以下来当!,1
琼瑶…大S真是难以改变的烂片女王,0
跳着看的好精彩善良可能是最后的杀人武器。,1
了。,0
貌似尺度挺大啊!!!哈哈哈哈,1
好笑!,1
就上映啦,1
就是要深度的东东~,1
的情调特别深刻,1
没节操,1
谁看谁是傻逼我就草,0
带着两周半的儿子去看的。一向怕黑的他竟然比较的在电影院里看完了整部，冲这我也得给个高分，而且他是不肯带眼镜直接就这么看的3D版，呃，和光头强的魅力真是无法阻挡。唯一槽点就是植入广告太多了，违和感太强。,1
来自陌生人的关怀和爱，或许让人更能接受，没有负担。女主可真美啊，最难抗拒间特别的性感。,1
自然,1
听说是剪刀手的错,0
啧啧这种事也就会在美国发生还改编成电影在中国一片和谐,1
预算大约是比第一部多了一点?恩，和小美还是那么搞笑，原来也喜欢人妻，恩，最好笑最有印象的是幽灵那一集（第四集?大概）和第五集开始的和考。,1
我想不给星星，确实很雷人。。。小说些什么，一点没看下去的欲望，老人去演高中生，我去看《》，那才是经典。。。,0
我就喜欢看这种片儿的影评,0
老怀旧了,1
看完~求电影求第三季~~~可以给10颗星嘛!?!?!?!?!?,1
一星妥妥的。,0
没三个小时精彩还看见好多大牌,1
小刚是演员,1
里面的那对兄弟好帅~~~!,1
只能怪这个故事实在秀智商下限,0
在一个月的夜晚，不见五指，一个替身,1
的片都很正!!!，这个片的太吓人了~~,1
作为一个，好的海报往往能激发人看片的欲望，《替身》的色调那个让人感觉到片子的各种恶意啊。不过也没看到什么山寨的味道。,1
cctv6，有些情节会吓到小朋友的,1
女演员长得像男人，所以才叫恐怖片吧~·~,0
很棒!!!,1
都没有高清版了，看不清了，又是个暴露年龄的,1
女主角似乎对男人对爱情对人类的感情丝毫不感兴趣。她一种体验。这种交易让她有存在感。而我觉得她爱上那老头了。老头的死让她了许多。爱和感情不是就能有的。老太太对老头的爱，无形很精神，却很孤独。但是真实。,1
因为～～～,1
cool~,1
!,1
受众是谁啊，两年就真的以为是在霓虹大电影啊!3D你妹啊!SB!$槽点满满$,0
神作来着,1
我一直对偶像剧有，看这一部是觉得它的开场很赞，结果看到一半就放弃了，至今不知道结局==,1
Itallsolifeislikeandream.,1
暧昧总让人委屈,1
我喜欢这个～～喜欢,1
我相信!圣诞了啊我可以礼物嘛!,1
喜欢这种，电视剧很少拍这么大阵容的心理，除了演自己分裂的那段特别假之外，其他还是很值得借鉴的，大家应该多关心下心理的部分~,1
的性格大的很好,1
很喜欢。,1
反复看了好多遍，音乐、镜头、情节都给人不一样的感触。不同的人每天都在不一样的生活中体验不同的事。有的时候爱情不是谁都可以。,1
故事性很强，不是靠背景音乐人的恶俗手法，而是实实在在的血腥画面来制造。反正看完我是发凉。而且看片时的心理也是由开始的马转变成片尾的“巴该”。总之就是很好看。。。值得看两遍。。。（以后不敢去泰国旅游了。。。,1
这个老男人，就像纯正的乡村音乐。,1
正义之风,1
歌很好听,1
小清新啊~,1
非常喜欢剧中仔仔的形象!!!,1
，夫妇，我还是相信他们只是朋友吧,1
够吓人的介绍了，感觉有点惊悚,1
一~\(≧▽≦)/~很好看的呀为什么分不高萌点很多很多~赞~【_(:з」∠)_拖了这么久才看。。。,1
哈哈『变态到无法直视』,1
第三季快来啊!!!,1
爱是自我的完全表达。这部电影让我想起少年的烦恼，因为金将军在片尾为爱放弃一切包括将军身份和自己的生命。金将军出来突然自杀实在令人惊悚。作为题材的电影，人间中毒拍得比英国病人细腻和古典。,1
，是一。治愈!,1
”母爱“思想的,1
小清新,1
捧场记得要送爆米花哦,1
哇咔咔，好看。。。,1
不是一部纯粹的偶像剧，喜欢的坚强与善良，喜欢的执着和温暖，他俩很配!,1
想文艺，一不小心第三类的电影,0
快出第三季!!!,1
每看完，都感觉仿佛多经历了2年，问题与降临你身上，不为什么，只因为这是现实!,1
顶着速度光环的大烂片,0
超赞!!!大爱啊!!!,1
觉得是文根英最好的一部,1
虽然演员年龄都不，但此三人演技已经不错了~~~原本不喜欢黄晓明，看了他的以后开始不反感他了，他演绎出了别有味道的；大s很适合这个角色；何润东蛮有少爷的气场的，不错~~本想打4星，但看到豆友的之后，帮忙拉拉分~~~~,1
这样的搭配，就是挺好的。,1
看懂了还是觉得挺深刻的，暗战呢。。。,1
低俗、、肮脏,0
出啊,1
求快出第二季,1
赞!,1
太意淫的一部连续剧啊,0
好喜欢啊,1
够搞。,1
这个消息我也知道了，心动就马上行动~,1
一直没这算纪录片还是什么啊还挺可爱的,1
的关键在于减少中间环节，从。,1
完美又温馨!,1
!居然被某个桥段感动到流泪。。。好温暖，圣诞节真好~,1
集那长篇的是凑时间的。可是说好的呢???,1
为什么豆瓣电影评分没有，这电影我就很想给0分啊!烂的我都不想吐糟了。不过一部烂片必然有亮点，亮点就是那个娘娘腔最后死的时候，我想到一个词-。,0
超好看,1
哈哈哈,1
这种的可爱组合，很温馨,1
想再看一遍~,1
我看泡沫之夏拍的还好，总比其他的网络小说拍成的电视剧要好，比较忠实原著。喜欢看，你们的演员也挺养眼的!尤其是何润东演的的比我想象的要好很多，大S也不错。支持!,1
很喜欢。,1
这季好看!,1
“我要对自己一声：同学，你危险了!”啊哈哈,1
又是,1
这个好好看的,1
最喜欢这个版本,1
美女和野兽的还是最出色的,1
不说我们王子王子了，一个字，赞!,1
非常可惜只出了,1
m,1
帅我一脸!,1
，no!,1
你们评判的标准?,0
中国不能娶啊T_T,1
林志颖的表现带动了整个电视剧，我觉得还是很不错，很适合放松的时候看一下，还算不错。当放松蛮好的,1
我喜欢GAY。深深的~,1
有做的才能。,1
和成了，但是我知道要分了，进精神了。。。幻觉那几集还蛮好看的,1
很可爱啊~看了心情会很好,1
哭了个一塌糊涂~,1
如同一对吵架的小夫妻，有意思死的好突然，片尾歌曲唱的人好难过他们party好high啊，大叔点酒真是帅呆了。每季结尾都要虐大叔，要不要这样啊。这季有几个案例太类似没有之前好，但是又不想给四星，谁让我爱上怪大叔呢,1
啊。。。塔～,1
连小时代都不如,0
给那些美味诱人的蛋糕给个力荐!,1
仔仔的巅峰，他最美丽的时刻。反复看了无数遍的好剧。,1
学校看的恐怖片都够无聊的,0
情感描写特别细腻心理活动表现的非常完美,1
我真的太讨厌里面的歌了,0
是个好小伙,1
俩男主秒我~所有音乐都好听~,1
两星给的是画面和特效...特效真心好，画面真心漂亮，真的像是还原了童话本身的场景，给美指赞一个!故事...我真是不敢恭维...拖拉莫名..不知道说的什么，本来是抱着跟动画一个概念去的，结果却是被改的，完全不知所云!还有!男主女主真是...我不是，但是也被这样的到了!,0
谈其八卦，不知?!，回好听!虽然纪录片没舞台上的形象完美，但是反而更贴近真实些，当然距离固然还是不可避免。不然呢，当我们在谈论时我们在谈论什么~,1
勇士爱，控人妻!!!,1
和都不是地球人，我认为。,1
无尽的吐槽依旧好欢乐~村花打酱油了可爱死了,1
当年太喜欢了!!!呵呵,1
好可爱的啊~~,1
非常欣赏的个人魅力，当然tom也很优秀。虽然看过的律政剧不是很多，但是无疑是最好看的。什么都是浮云，看完，的，不仅仅是法庭这一块。当然对于部分案件还有些疑问如为什么警察在证据不足的情况下没有考虑其他的可能性。,1
爱情可以青梅竹马。,1
用梦境和来表现故事的因果关系实在是很酷炫!,1
果然是开放式结局不过其实也没啥兴趣再去研究结局了..反正自从死了之后这剧我就看得很了果然的角色就从来不会让我觉得失望~而且觉得后面的五集真的是各种鬼扯啊..什么乱七八糟的剧情..哦还有的演技也是无可挑剔了已经等着今年靠这角色拿奖拿到吧,1
最后一段给五星,1
看的我急死了着进度条我靠就剩5分钟你能不能把他啊!!!,1
噗,1
3个都是固执又的人啊。三个极端的人纠缠到了一起，最后还是了。大爱何润东。,1
各种小清新、纯暧昧，加上灿烂的阳光，大片的绿色，的以及一栋文艺范的，这部电影就这样把我征服了。,1
最爱的动画,1
带领大家悲剧的黑暗英雄!这部剧了当初的虽然如今大但是我们依旧怀念也希望仔仔可以找到自己的另一半同样幸福下去;;,1
还是最爱这一部电影。,1
本人没有看过!!!名字很霸气!!!,1
被催泪了。,1
跟已被禁的《天与地》一样，是反映人性的故事。也许每个人心目中多住着一个和一个，我们是坏人，还是好人，只看善和恶哪一种被掩盖和激发得更多.....演员，剧情都不错，节奏靠近美剧，TVB的一次伟大的尝试!,1
loveislove,1
这部电影小文艺小清新让人心里很安静。没有戏剧性的感情冲突，但是每个人的感情都那么认真和细腻。在结尾，在纽约的时代广场钢琴，深野在酒店与平凡的女子婚礼，终于走出，独自面对上海广场的，她是在想念李医生吧。当的响起时，一切都归于平静。,1
听说看了会让人慢慢喜欢爱情.学会了爱情要.也要冒险.（每个人都想明白谁是生命中不能错过的真爱张学友.如果爱）,1
心里的,1
笑死,1
打低分根本就不是因为短片本身而是因为像$$一样对不同的有偏见吧我认为,1
我看的第一部文根英的电影，因为这个，我后来又看了她不少其他的电影。这部电影拍的真是很不错，轻松搞笑幽默。,1
&$34;你愿意为了得到工作而和一个男人滚床单吗?&$34;,1
《》逊色了很多,1
分，哈哈哈哈哈哈,0
我喜欢小小这种有点小的样子,1
重温一遍，大赞，准备买本原著看,1
实在看不下去,0
震撼，仔仔的表演到了新的高度。,1
看这片子会上瘾的说。。。以及，第一集开头和集最后真是太亮了~,1
挺好看,1
就是够味道,1
你们谁啊……,0
小学时看的.很可爱喔.,1
其实只是一个有关自我选择的故事，估计只有在法国才能这么纯粹的不带任何道德批判。,1
小学时看过，看了一半啊!,1
不错,1
現實有時候就是這樣,1
太棒了!!!,1
欢迎加入本公司，哈哈,1
wecan&$39;tevenjustonlyone.,1
别错过真正属于自己的幸福，,1
能好好活着真是一份,1
恐怖，但让人着迷。,1
的很差.........,0
吓cry真的是吓cry,1
相濡以沫，,1
动画,1
最后一个好奇!,1
看后感觉心情很愉快!,1
浪漫的恋情很感人,1
阿我这是，我就是好喜欢阿!,1
真的无爱真的很无聊,0
向致敬,1
这么呆萌清新无镜头的小片子，就是想看你们的的眼神和小动作，慢的进展，看得我好急，就有，靠暧昧你到!,1
很好看的动画片不错,1
请快点2期!,1
卧槽!?!?!?!,1
很棒，真心很棒。精华全被了。,1
超萌的~!,1
为什么豆瓣评论这么差?我没有看过原著，所以我也不知道与原著相差多少，我觉得好看，就是单纯的好看，大S是老?或许吧。但是我真的看不出来她的脸能出卖她的年龄，好吧，或许其他还有很多很多的不足。好吧，我花痴，但是真心的觉得好看。,1
不是一般的肥皂、,0
为了那震惊的想给十星。,1
每首歌都好听。,1
五龙的和，旧中国底层小人物思想的和顽强的生存意志，中国人的，但是最后的一声也给了这种阴暗的民族人性一棒，这样最终导致；情欲的压抑和渴望表现在五龙在上的挣扎，阴暗的环境衬托人物的心理情绪。,1
黑人,1
真爱推荐~!,1
如何歧视和甚至威胁，最终得到尊重和，的励志片……,1
每个人身边都会有一个装逼犯,0
的,1
现在棒子的尺度越来越大了。。。只能说一句：!很荡漾~~~,1
巨大压力下的职场、婚姻、情感、友谊等刻画得非常好。现在很少看到这样好的美剧了。最爱这一季。,1
没什么好说的，明年见,1
很不错,1
让我想起了王家卫，缓慢的镜头，饱满的色彩，的画面和忧伤的曲子，最重要的是表达的这种暧昧不清的情愫，那些的言语，虽然中间几个人的插叙不是很清楚，但是这个氛围已是足够。印象最深的这个片尾曲，同坐在上的画面，派那的灯光和灯光下每个人的的表情。,1
因为收到了个特别特别好的消息，所以四星的电影升五星啦!,1
教科书般的美国黑帮电影,1
好温情的家庭生活呀,1
真的好看!,1
般的预告，看的我惊呆了,1
虽然有人说这是伪纪录片，但是却伪的我好喜欢!!!,1
将巅峰恐怖再升级，我喜欢这样的各种，一定更精彩,1
被高智商的恐怖动画，看懂的都是神经病~~赞~~,1
亚洲导演太明显啊!,1
创意牛B，演员衔接的很好,1
音乐中的诗人,1
只看了一集就了感觉主角选的除了大发外都是一群路人啊,0
看完了人生还有什么啊!!!,1
的影视从来不会让我失望，这部比较经典的,1
一不小心看到凌晨分。和绝对自我。令我惊讶的是最后两人竟然成为朋友。嗯，都是的人格。,1
广告，怎一个赞字了得。收尾的两集草草，但怎能不期待下一季。,1
alittle,1
一个受过伤害的精神病女人，三个没有的男人，一群身材的，对了，还有一个瞎老太太。、电梯、厕所，该有的惊悚元素都有了，出人意料的是竟然还有几场非常的，看似惊悚，实则怪异，谁是受害者，或许看完了电影你还要仔细想想。,1
云弟一生推!!!,1
本来想被吓一跳，结果被这个故事的一跳。,1
中国动漫的标杆作品。,1
一季，一季。That&$39;struelife~这样的女人令多少男人着迷，即便她是个花瓶。,1
喜欢片头的歌，这是拍得我最喜欢的一部,1
好看啊超好看，一家围着看，每天对点，话说真的很漂亮，也拍过这么多经典的电视剧啊……,1
的资本主义国家不得不经历的一个过程。,1
喜剧大片的典范,1
挺好看的。。。,1
谁看懂了谁看懂了!,1
听着很不错嘛，很想看看演出来的妈妈是什么味!,1
终于明白为什么别人脑残的时候总会说韩剧看多了。少女，花心大少为女保守害羞，然后是女孩男神成就，帅气老公无意发现，智障证据，还是无意的。他们对待婚姻对待出轨的处理方式简直挑战底线嘛，一星给文根英的小粗腿。,0
刺激!!!,1
成长就是不断的找到生活的勇气,1
我想买一副那样的眼镜。。。,1
o(),1
童年最美好的动画片，超爱。,1
因为比前两季优秀太多所以加一星。无论是13集讲的一天，14集他们去，之后医院医生的两两互动，19集和他们的表演，还有最终话都让人明白这个剧组太懂得服务观众了!!!,1
。。。,1
好看励志的,1
不咋的好看，但也没有一星这么难看吧?给五星评分,1
(),1
爱啊爱~,1
画风赞,1
我为。,1
很经典的一部电影!无论是剧情还是画面给你震撼!,1
期待中。。。,1
某个凌晨给我了很多感动和欢乐了，少的，好像又年轻了。男主角好帅，那时的文根英好可爱，可惜现在长残了，其实发我想说的是长残不是你的错，但是那么肥你是想怎样啊。最初想看这部电影是因为有个人说我像女主角，看完以后有点开心，那时候的女主也不错啊。,1
我泪奔了~~~%&gt;_&lt;%,1
~~,1
热爱生命远离王晶,0
猥琐大叔碰上花痴萝莉,1
大学里第一部完整看完的电视剧。我的最爱，再看一遍仍然会被感动。那时是和小鸟一起看的哈哈~,1
棒极了!小孩子会喜欢!学习主人公的勇敢!,1
这样的男人跟,1
哈哈,1
呀好喜欢好治愈,1
好想遇到个基友上司。,1
多好看啊!怎么这么呢...,1
第二季!!!,1
看电影很愉快!,1
这是什么剧情啊，可以再靠谱点吗,0
百看不厌,1
挺好看的一部美剧，就这么被卡了，真不知道美国人喜欢看什么样的电视剧,1
这两个没的说啊~里面还有修~,1
萌萌的，很赞的一部电影!,1
剧本超赞!很过瘾。看了就知道,1
结尾不给，而且比第一季还少了一集难道都是用到最后了。的是难以，游戏控的呆意外的很帅呢，妹妹和真是越来越好看了呢，话说和果然有一腿吧哈哈哈,1
妈呀泪流满面这大概是我童年最爱的动画了对企鹅的喜爱肯定源于它,1
这是我近期看过最差的动作戏，主演打起来都也太假了，演技差。,0
喜欢，转走转走.....,1
演技的巅峰,1
评分这么低，大概不是片子不好，是观众被人性之无下限恶心到了。说来也怪，西方悲剧通常能如精神，中国的悲剧却不充满了恶心。,1
。,1
《两面国》真恐怖,1
优在这部电影里太美了，太美了，好瘦好瘦啊，因为优，这部电影一分钟都不是浪费。很喜欢!,1
遥想当年，我只是个少年，不是大侠,1
仔仔,1
“我很恨她，我杀了她，但其实我还是很喜欢她、很爱她，想多留她，所以我想慢慢把她吃掉，这也很正常嘛”,1
黑色电影之1,1
笑出腹肌233,1
好棒,1
除了画面之外毫无可取之处。演员除了前妻一个丑过一个，女主本来颜还可取，但你能脖子吗，你不是模特吗,0
有被感动到~,1
最爱,1
&$34;youeverhavesexwithamanintogeta?&$34;&$34;;充满基情的小短片,1
童年,1
我服了。无脑的编剧和无脑的导演和无脑的化妆。,0
為了我愛的,1
难得的精品,1
完全可以在一起做成加。其他的，不想說了，心情。,1
几乎几乎把所有可能涉及到的负面感情都集齐了,1
让我冷了。,1
小姑娘很可爱。不过爱到底是什么，仍然不懂,1
舒服的的的电影,1
超级好看，插曲太美了。,1
简直认不出是我看过的书改编的～,0
人生最爱的动画片~~瓜~瓜,1
纪录片拍的这么精致科学吗,1
拍短片没问题，破绽太多。立意也不够新。故事又不好听，讲的又不好。,0
我何润东，以前是，现在更是，以后也是。,1
无声胜有声。,1
活着,1
虽然够闷的，但还是很喜欢~PS，最后那几分钟真的没看懂，希望有人赶快来回答我的问题。。。,1
极品哪里都有,1
生活很艰难啊是吧~,1
这应当是我最喜欢的电视剧，没有之一。,1
爱情到底是什么,1
怪我看不懂啊~,0
很难得的TVB剧，跟着豆瓣评论一起~果然是不如啊~非常有意思,1
那个日本孩子的故事着实不错,1
。,1
很深刻,1
相信这个一定会有很多人喜欢的,1
也算是一直听精神，完全不喜欢不接受这个,0
当初看原著的时候可没觉得有这么基啊!画风超赞!看到按那段还是笑得不能2333的是,1
的圣诞老人家族的人士努力完成一项“一个”的任务。有点英伦小吐槽，但总体温馨。一堆英国大牌的声音是个亮点。包装可爱。,1
美丽的人们演绎美丽的爱情故事。因为主演都是我喜欢的，所以再加一颗星。,1
把爱情称为,1
在很久很久以前我真心爱，现在在我心中一样是经典,1
血腥+暴力+悬疑恶魔艺术中最经典的一部了,1
时隔多年又被吓到，了自己和妹子。英雄主义不非得逼人，能让人瞬间变成了影片里默默的观者也足够了。,1
看不够!!!,1
太短啦!不够看!,1
好玩!我也想搞一台自己一些问题!~,1
神马东西....,0
暑期档，最影片爆笑!,1
买了盘却看不下去了。。。真的长大了吧。。。,1
不是我的菜。。。看不下去米兴趣,0
